"Zip Code","Professions, professional associations","Service business/multiple service business or Passenger transportation services","Retail sales","Dealer in tangible personal property","Hotels, apartments, motels, etc. or Commercial, industrial or office space","Eating establishments or Catering businesses","Contracting","Administrative office, operation center or Other unclassified businesses","Manufacturing, recycling, processing, etc.","Bank, Savings & trust companies, etc.","Dealer in intangible personal property","Vending, service & amusement machines","Educational, training institutions","Non-profit charitable, religious or educational institutions","Pawnbrokers","Dancing or entertainment, etc.","Local exchange telecommunication company or Communication businesses","Multi-Municipal Contractor","Title insurance, abstract companies, etc.","Non-vocal communications, etc.","Amusement facilities/devices (non-coin)","Movies, playhouses, stadiums, auditoriums, etc."
"33109 zip",7,10,5,2,1,7,0,2,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"33125 zip",554,392,254,69,309,85,137,37,23,21,12,28,14,6,15,5,1,8,1,1,4,1
"33126 zip",1173,914,347,609,155,123,246,99,37,41,39,35,24,12,10,8,10,11,8,4,1,1
"33127 zip",64,352,263,218,96,86,75,19,57,14,3,15,11,14,7,0,2,5,0,0,2,1
"33128 zip",95,65,68,33,113,28,10,7,3,5,3,6,0,5,5,1,0,1,0,0,1,0
"33129 zip",312,102,22,35,51,16,45,9,2,3,15,4,13,4,0,0,0,1,1,0,1,0
"33130 zip",1017,369,253,117,397,138,63,36,26,31,17,33,12,13,9,8,7,0,1,8,0,1
"33131 zip",4697,597,223,312,61,184,55,107,12,91,165,10,17,6,0,3,10,1,6,3,0,3
"33132 zip",360,415,338,292,48,128,28,55,29,25,21,13,9,5,7,22,28,1,1,0,0,2
"33133 zip",1286,323,176,115,111,102,126,59,11,14,51,13,25,9,0,7,10,1,6,0,0,1
"33134 zip",3761,775,354,221,281,200,183,92,31,72,129,25,28,9,8,2,3,9,16,1,3,3
"33135 zip",751,504,399,108,521,128,64,21,48,35,14,34,38,12,31,4,5,1,1,2,0,3
"33136 zip",59,73,66,20,104,45,36,10,13,7,2,5,5,11,1,1,0,1,0,0,0,0
"33137 zip",432,373,212,138,155,93,66,48,32,13,27,17,10,19,3,1,3,3,1,3,0,0
"33138 zip",367,358,161,143,172,60,109,32,44,16,9,18,27,14,0,5,5,9,2,2,1,1
"33139 zip",642,572,540,134,582,449,79,60,31,88,46,48,28,20,2,44,1,3,6,3,4,4
"33142 zip",112,1160,748,567,152,177,172,40,220,36,10,57,19,22,15,8,6,11,0,4,9,1
"33144 zip",1177,740,478,128,63,127,185,30,43,45,14,31,54,7,18,2,4,10,4,2,1,0
"33145 zip",765,333,156,72,76,71,115,31,14,28,14,15,16,6,5,3,2,3,3,1,0,1
"33146 zip",1076,160,125,48,8,60,47,36,11,20,33,7,19,9,0,2,1,1,2,0,0,1
"33147 zip",82,569,429,178,55,75,121,23,80,20,5,30,17,22,4,2,3,8,0,3,4,0
"33149 zip",202,148,68,41,6,61,40,20,4,15,20,5,12,3,0,1,0,0,2,0,2,0
"33150 zip",147,284,175,68,61,40,58,7,25,16,4,16,3,8,6,0,0,0,1,1,0,0
